;a00_cle_idweb;d01_07_cp;d01_08_ville;d01_01_denomination;g04_052_descripteurs_libelles;g04_09_resume_objet;g04_061_criteres_sociaux;g01_02_02_perimetre;g01_02_01_famille;g01_02_03_nature;g01_02_04_statut;g04_062_criteres_environnementaux;g04_01_date_publication
451;19-141695;87031;Limoges cedex 1;Conseil Départemental Haute-Vienne;['Informatique (prestations de services)'];Réalisation, hébergement et maintenance du site internet de Châlucet-Ligoure;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
452;19-142135;87031;LIMOGES CEDEX 1;COMMUNE DE LIMOGES;['Spectacle'];Conception de la scénographie de l'exposition sur le Goulag;non;cmp2006;mapa;attribution;initial;non;2019-09-18
453;19-141622;87040;Limoges;Agence de services et de paiement;['Vidéo, cinéma'];Dispositif d'appui à la conception et à la réalisation de vidéos promotionnelles;non;cmp2006;fns;attribution;initial;non;2019-09-18
454;19-140389;87150;CUSSAC;CIAS EHPAD DINS LOU PELOU;['Assurance'];Souscription de contrats d'assurances prestations statutaires.;non;directive24;joue;attribution;initial;non;2019-09-18
455;19-141752;88026;Epinal cedex;DDT des Vosges;['Couverture'];Réfection et isolation des toitures de la DDT des Vosges;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
456;19-141982;88100;SAINT-DIE-DES-VOSGES;CA DE SAINT DIE DES VOSGES;['Echafaudage', 'Enrochements', 'Espaces verts', 'Falaise', 'Maçonnerie', 'Protection, chutes de pierres', 'Végétaux'];Valorisation du Château de Pierre-Percée - Phase 1 des travaux : Consolidation et restauration des vestiges;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
457;19-142041;88800;Vittel;ville de Vittel;['Véhicules', 'Véhicules (acquisition)'];Achat d'un tracteur compact avec équipement hivernal;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
458;19-140187;89000;AUXERRE;SDEY;['Eclairage public', 'Maintenance'];Le présent appel d'offres concerne un marché public de travaux, d'exploitation et de maintenance des installations d'éclairage public pour le secteur de l'Auxerrois Serein.;non;directive24;joue;appeloffre;initial;non;2019-09-18
459;19-142101;89089;Auxerre;DEPARTEMENT DE L YONNE;"[""Tous corps d'état""]";"Marché relatif à la construction d'un gymnase au collège "" Albert Camus "" à Auxerre.";non;cmp2006;fns;appeloffre;initial;non;2019-09-18
460;19-142186;89400;Migennes;CCAM;['Bâtiment'];Le projet concerne la construction d'une maison de santé pluridisciplinaire accessible depuis la Place Henri Dunant et la RuePierre et Marie Curie à Migennes.Le projet a été établi selon les pl;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
461;19-142037;90010;Belfort cedex;UNIV DE TECHNO DE BELFORT MONTBELIARD;['Equipement industriel'];Acquisition d'un compresseur d'air - Equipe de recherche PMDM du laboratoire ICB - Site de Sevenans de l'UTBM (plateforme TITAN);non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
462;19-142098;90010;Belfort cedex;UNIV DE TECHNO DE BELFORT MONTBELIARD;['Equipement industriel'];Achat d'un système Cold Spray pour la plateforme TITAN de l'UTBM.;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
463;19-94374;90400;Trévenans;COMMUNE DE TREVENANS;['Voirie et réseaux divers'];Projet de desserte de la sci ehret-jussieu;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
464;19-142153;91035;Evry cedex;Association faculté des métiers 91;['Audiovisuel'];Fourniture et Mise en service d'écrans interactifs pour la plateforme CampusFab;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
465;19-140554;91106;Corbeil-essonnes;Centre Hospitalier Sud Francilien;['Maintenance'];Entretien et maintenance des matériels et équipements de restauration, des chambres froides alimentaires et médicales pour les établissements du GHT Ile de France Sud;non;directive24;joue;appeloffre;initial;non;2019-09-18
466;19-141851;91125;Palaiseau cedex;Ville de Palaiseau;['Alarme'];La présente consultation porte sur des travaux d'installation et de remplacement des équipements d'alarmes anti-intrusion et de contrôle d'accès dans les bâtiments communaux de la Ville;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
467;19-140781;91978;Courtaboeuf cedex;SIOM de la Vallée de Chevreuse;['Déchets non ménagers (prestations)'];Tri et traitement des encombrants et des gravats du territoire du SIOM de la Vallée de Chevreuse;non;autre;joue;rectificatif;rectificatif;non;2019-09-18
468;19-140361;92000;Nanterre;Cons. Départ. des Hauts-de-Seine;['Prestations de services'];Prestations d'accompagnement pour les déplacements des enfants et jeunes majeurs confiés à l'aide sociale à l'enfance;non;directive24;joue;attribution;initial;non;2019-09-18
469;19-140494;92000;Nanterre;Cons. Départ. des Hauts-de-Seine;['Prestations de services'];Prestations de représentation juridique du département des Hauts-de-Seine dans le cadre des contentieux relatifs au THD Seine;non;directive24;joue;attribution;initial;non;2019-09-18
470;19-142023;92000;Nanterre;Cons. Départ. des Hauts-de-Seine;['Contrôle technique'];Mission de contrôle technique pour la construction d'un collège et de son gymnase sur le futur éco-quartier 'La Vallée' à Châtenay-Malabry.;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
471;19-140664;92013;Nanterre;Préfecture des Hauts-de-Seine;['Prestations de services'];MARCHE DE PRESTATIONS MULTISERVICES ( MAGASNIER, TRAVAUX DE PLOMBERIE ET FACTOTUM);non;directive24;joue;appeloffre;initial;oui;2019-09-18
472;19-137967;92014;Nanterre cedex;Ville de Nanterre;['Ascenseur', 'Bâtiment', 'Chauffage (matériel)', 'Chauffage (travaux)', 'Electricité (travaux)', 'Equipement sportif', 'Espaces verts', 'Gros oeuvre', 'Plomberie (travaux)', 'Réseaux divers', 'Revêtements de sols', 'Revêtements muraux', 'Sanitaire', 'Ventilation', 'Photovoltaïque'];travaux de construction des locaux du stade Jean Guimier;oui;cmp2006;fns;attribution;initial;non;2019-09-18
473;19-138039;92014;Nanterre cedex;Ville de Nanterre;['Bâtiment', 'Clôture', 'Electricité (travaux)', 'Equipement sportif', 'Espaces verts', 'Voirie et réseaux divers'];Travaux de construction des locaux du stade Jean Guimier à Nanterre:Lot 02: VRD - Espaces verts - ClôturesLot 05: Electricité courant fort - courant faible;oui;cmp2006;fns;attribution;initial;non;2019-09-18
474;19-141072;92104;Boulogne Billancourt;COMMUNE DE BOULOGNE BILLANCOURT;['Mobilier'];Fourniture et livraison de mobilier et sièges pour les services de la Ville;non;directive24;joue;appeloffre;initial;non;2019-09-18
475;19-140921;92130;Issy-les-moulineaux;GPSO POUR ISSY LES MOULINEAUX;['Assurance'];"Services d'assurances de la Ville d'Issy-les-Moulineaux Relance du lot 2 : Assurance "" Dommages aux biens """;non;directive24;joue;attribution;initial;non;2019-09-18
476;19-140753;92197;Meudon cedex;GRAND PARIS SEINE OUEST;['Habillement'];Fourniture et entretien d'EPI à haute visibilité, de vêtements de travail et de vêtements de sécurité, fourniture de chaussures, de bottes et d'EPI consommables;non;autre;joue;rectificatif;rectificatif;non;2019-09-18
477;19-141701;92310;Sèvres;ETS PUB CITE CERAMIQUE SEVRES LIMOGES;['Articles de bureau et articles scolaires', 'Papeterie'];Acquisition et livraison de fournitures de bureau et de papier reprographie pour le site de Sèvres - Manufacture et musée nationaux;non;cmp2006;fns;attribution;initial;non;2019-09-18
478;19-140073;92322;Chatillon cedex;ONERA - Direction des Achats;"[""Maîtrise d'oeuvre""]";2019DBRA-MOE-RESEAUHT-Phase1;non;autre;joue;rectificatif;rectificatif;non;2019-09-18
479;19-142030;92350;Le plessis robinson;Ville du Plessis-Robinson;['Gardiennage'];Marché relatif aux prestations de gardiennage des locaux utilisés par les Services Techniques du Plessis-Robinson.;non;cmp2006;fns;appeloffre;rectificatif;non;2019-09-18
480;19-140157;92445;Issy les moulineaux;ICADE PROMOTION;"['Bâtiment', 'Maçonnerie', ""Tous corps d'état"", 'Amiante (désamiantage)']";Marché public global de performance pour la conception, la réalisation, l'exploitation etla maintenance du projet de réhabilitation et restructuration du Collège la Mare aux;non;autre;joue;rectificatif;rectificatif;oui;2019-09-18
481;19-142071;92501;Rueil-malmaison;Commune de Rueil-Malmaison;"[""Assistance à maîtrise d'ouvrage""]";Mission d'assistance à maîtrise d'ouvrage pour le suivi et le contrôle de la délégation de service public (DSP) du réseau de chaleur de Rueil-Malmaison;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
482;19-140892;92600;Asnières sur seine;Ville d'Asnières-sur-Seine;['Assainissement'];Entretien et curage des réseaux d'assainissements des bâtiments communaux;non;directive24;joue;appeloffre;initial;non;2019-09-18
483;19-140541;93000;Bobigny;DEPARTEMENT DE LA SEINE SAINT DENIS;['Matériel de travaux publics'];Travaux de grosses réparations, de rénovation et d'entretien à réaliser dans les logements de fonctions du Département de la Seine-Saint-Denis (Multi-attributaires : 3 opérateurs);non;directive24;joue;attribution;initial;non;2019-09-18
484;19-142046;93150;LE BLANC MESNIL;COMMUNE DE BLANC MESNIL;['Chauffage (travaux)'];ENTRETIEN DES CHAUDIERES ET DES ACCUMULATEURS D'EAU CHAUDE;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
485;19-142047;93150;LE BLANC MESNIL;COMMUNE DE BLANC MESNIL;['Climatisation'];ENTRETIEN ET DEPANNAGE DES INSTALLATIONS DE PRODUCTION DE FROID ET DES CENTRALES DE TRAITEMENT D'AIR;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
486;19-141951;93205;Saint-denis cédex 01;Ville de Saint-Denis;['Formation'];Formation et accompagnement des collectifs managériaux;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
487;19-140677;93218;La plaine saint denis cedex;Etablissement Français du Sang;['Informatique (matériel)'];FOURNITURE DE POSTES INFORMATIQUES, DE PERIPHERIQUES INFORMATIQUES, D'ACCESSOIRES ET DE REALISATION DE PRESTATION DE SERVICE ASSOCIES POUR L'ETABLISSEMENT FRANÇAIS DU SANG;non;directive24;joue;appeloffre;initial;non;2019-09-18
488;19-140233;93322;Aubervilliers cedex;Campus Condorcet;['Livres'];Achat de livres non scolaires imprimés et électroniques;non;directive24;joue;appeloffre;initial;non;2019-09-18
489;19-141959;93400;Saint-ouen;REGION ILE DE FRANCE;['Etanchéité'];Travaux de réfection et sécurisation des terrasses des bâtiments A et B du lycée Émilie de Breteuil à Montigny-le-Bretonneux (78).;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
490;19-140741;93410;Vaujours;Ville de Vaujours;['Nettoyage de locaux'];Nettoyage et entretien ménager des bâtiments et équipements communaux;non;directive24;joue;attribution;initial;non;2019-09-18
491;19-140616;93410;Vaujours;Ville de Vaujours;['Carburant, hydrocarbure'];Fourniture de carburants avec cartes accréditives;non;directive24;joue;attribution;initial;non;2019-09-18
492;19-140668;93500;Pantin;DGFIP DVNI;['Prestations de services'];Location de véhicules de courte durée sans chauffeur;non;directive24;joue;attribution;initial;non;2019-09-18
493;19-141852;93526;Saint-denis cedex;Université Paris 8;['Ingénierie'];Schéma directeur aménagement espaces extérieurs;non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
494;19-140615;93600;Aulnay-sous-bois;Ville d'Aulnay-sous-Bois;['Isolation'];Fourniture, pose et maintenance de voilages, doubles-rideaux, rideaux solaires, occultation, stores et accessoires - année 2019/2020 reconductible jusqu'en 2022/2023;non;autre;joue;rectificatif;rectificatif;non;2019-09-18
495;19-140590;93600;Aulnay-sous-bois;Ville d'Aulnay-sous-Bois;['Etude'];Mission contrôle technique de la norme NF P03-100 et vérifications réglementaires des installations électriques, gaz, SSI, ascenseur, chaufferie>400 KW et système de climatisation>12KW-Année 202;non;directive24;joue;appeloffre;initial;non;2019-09-18
496;19-141759;93601;Aulnay sous bois cedex;PARIS TERRES D'ENVOL;['Etude'];MISSION DE PROGRAMMATION POUR LA CREATION D'UN EQUIPEMENT MULTI-SERVICES DANS LE CADRE NPNRU GRAND QUARTIER ANCIENNES BEAUDOTTES SEVRAN;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
497;19-140993;93697;Pantin;Ile-de-France-Construction Durable.fr;['Equipement sportif', 'Terrassement', 'Voirie et réseaux divers'];Marché de travaux décomposé en 6 lots pour l'opération de rénovation des espaces sportifs du lycée Michelet à Vanves (92) (rectificatif);non;cmp2006;fns;appeloffre;rectificatif;non;2019-09-18
498;19-141630;94046;Créteil cedex;MEEDDM;['Voirie et réseaux divers'];Location et pose de dispositifs de retenus modulaires en béton d'embase 0.60 m, de nuit en axe de l'A126 entre les PR 0+700 et 2+200;non;cmp2006;fns;appeloffre;rectificatif;non;2019-09-18
499;19-140842;94046;Créteil cedex;MEEDDM;"[""Ouvrage d'infrastructure""]";Autoroute A86 : Travaux de modernisation des tunnels de Fresnes et Antony;non;directive24;joue;appeloffre;initial;non;2019-09-18
500;19-141658;94165;Saint-Mandé;Institut Geographique National;['Evénementiel'];Réalisation de conférences en ligne pour l'IGN;non;cmp2006;fns;attribution;initial;non;2019-09-18
501;19-141083;94165;Saint-mande cedex;METEO FRANCE;['Gaz divers'];Fourniture de racks d hélium prêt à remplir et de détendeurs;non;directive24;joue;appeloffre;initial;non;2019-09-18
502;19-141048;94165;Saint-Mandé;Institut Geographique National;['Maintenance'];Maintenance des onduleurs sur les sites métropolitains de l'Ign;non;directive24;joue;attribution;initial;non;2019-09-18
503;19-142017;94165;Saint-mandé cedex;METEO FRANCE;['Assurance'];Prestations de services d'assurance;non;cmp2006;mapa;attribution;initial;non;2019-09-18
504;19-140413;94165;Saint-Mandé;Institut Geographique National;['Ordures ménagères (prestations)'];Collecte, traitement et valorisation des déchets sur le site Ign de Villefranche-sur-Cher;non;directive24;joue;appeloffre;initial;non;2019-09-18
505;19-140919;94260;Fresnes;DIR INTERREGIONALE SCES PENITENTIAIRES;['Prestations de services'];La livraison, le transport et la fourniture de repas cuisinés en barquettes individuelles en liaison froide;non;directive24;joue;appeloffre;initial;oui;2019-09-18
506;19-140465;94290;Villeneuve le roi;Ville de Villeneuve-le-Roi;['Chauffage (exploitation, entretien)'];Maintenance des installations de génie climatique des bâtiments communaux;non;directive24;joue;appeloffre;initial;non;2019-09-18
507;19-141877;94385;Bonneuil/Marne;Service Technique de l'Aviation Civile;['Gardiennage', 'Prestations de services', 'Surveillance'];prestation de gardiennage sur le site du stac de bonneuil/marne (rectificatif);non;cmp2006;fns;attribution;rectificatif;non;2019-09-18
508;19-140891;94415;Saint-maurice cedex;Ville de Saint-Maurice;['Nettoyage urbain', 'Prestations de services'];Prestations de services de nettoiement mécanisé;non;directive24;joue;attribution;initial;non;2019-09-18
509;19-140783;95000;Neuville sur oise;SDIS 95 Val d'Oise;"[""Contrôle d'accès"", 'Matériel de sécurité']";19-064 Sécurisation des accès des sites du Service départemental d'incendie et de secours du Val d'Oise;non;directive24;joue;appeloffre;initial;non;2019-09-18
510;19-142112;95021;Cergy-pontoise cedex;SEM DEPTAL AMENAGEMENT DEP VAL D OISE;['Assistance technique'];Contrat de prestations de services pour les besoins de la société;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
511;19-141876;95027;Cergy-Pontoise;CACP;['Amiante (désamiantage)'];19TA09 - Travaux de désamiantage dans le cadre des travaux d'aménagement de l'espace de Médiation Artistique et Culturel;non;cmp2006;fns;attribution;initial;non;2019-09-18
512;19-141874;95027;Cergy-Pontoise;CACP;['Peinture (travaux)'];19TA08 - Travaux de remise en peinture des murs de la grande Halle et des sols de l'espace gradin du complexe des Maradas compris mise en accessibilité des escaliers de la Tribune;non;cmp2006;fns;attribution;initial;non;2019-09-18
513;19-141871;95027;Cergy-Pontoise;CACP;['Assainissement'];19TA08 - Travaux de réhabilitation du bassin de la bouverie à Saint Ouen l'Aumône;non;cmp2006;fns;attribution;initial;non;2019-09-18
514;19-141873;95027;Cergy-Pontoise;CACP;['Charpente', 'Couverture', 'Zinguerie'];19TA02 - TRAVAUX DE RENOVATION A L'IDENTIQUE DES AUBETTES DE LA GARE ROUTIERE DE NEUVILLE;non;cmp2006;fns;attribution;initial;non;2019-09-18
515;19-141867;95027;Cergy-Pontoise;CACP;['Porte automatique, portail'];18SA25 - Marché de maintenance des portes et portails automatiques des bâtiments de la communauté d'agglomération de Cergy-Pontoise;non;cmp2006;fns;attribution;initial;non;2019-09-18
516;19-141869;95027;Cergy-Pontoise;CACP;['Electricité (travaux)', 'Maçonnerie', 'Menuiserie', 'Métallerie', 'Plomberie (travaux)'];19TA-05 Travaux pour le réaménagement de l'Espace de Médiation Artistique et Culturel dans le bâtiment de l'Hôtel d'Agglomération, Parvis de la Préfecture, à Cergy-Pontoise (Lots no1,2,;non;cmp2006;fns;attribution;initial;non;2019-09-18
517;19-142164;95027;Cergy-Pontoise;CACP;['Assainissement'];19TA17- Travaux de réhabilitation du collecteur de transport des eaux usées du chemin de Halage;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
518;19-141841;95027;Cergy-Pontoise;CACP;['Gardiennage'];19SA03-Marché de prestations de gardiennage des biens et équipements de la Communauté d'agglomération de Cergy-Pontoise;non;cmp2006;fns;attribution;initial;non;2019-09-18
519;19-141744;95032;Cergy pontoise cedex;Conseil général du Val d'Oise;['Charpente', 'Couverture', 'Gros oeuvre', 'Terrassement'];"La présente consultation a pour objet la relance de la construction d'un hangar "" des jardiniers "" au Château de la Roche Guyon.";non;cmp2006;fns;attribution;initial;non;2019-09-18
520;19-141893;95120;Ermont;Commune d'Ermont;['Matériel médical'];Acquisition et entretien des défibrillateurs de la Commune d'Ermont et des Syndicats Jean Jaurès et Van Gogh;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
521;19-142096;95141;Garges lès gonesse;Ville de Garges-lès-Gonesse;['Plomberie (travaux)'];Acquisition et livraison de fournitures et matériels de plomberie pour la ville de Garges-lès-Gonesse et du CCAS;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
522;19-142146;95310;Saint-ouen l'aumône;COMMUNE DE SAINT OUEN L AUMONE;['Papeterie'];Acquisition et livraison de différents types de papier d'impression, destinés aux copieurs et imprimantes de la Ville;non;cmp2006;mapa;appeloffre;initial;oui;2019-09-18
523;19-141925;95503;GONESSE;COMMUNE DE GONESSE;['Colis'];Numéro de la consultation : 19F05 Fourniture de colis de noel pour les personnes âgées - Année 2019;non;cmp2006;mapa;attribution;initial;non;2019-09-18
524;19-140163;95700;Roissy En France;COMMUNAUTE D AGL ROISSY PAYS DE FRANCE;['Assainissement'];Etudes et travaux pour la mise en oeuvre d'un dispositif d'autosurveillance sur les systèmes d'assainissement;non;directive24;joue;attribution;initial;non;2019-09-18
525;19-140167;95700;Roissy En France;COMMUNAUTE D AGL ROISSY PAYS DE FRANCE;['Bâtiment'];Travaux d'entretien et de maintenance des bâtiments de la communauté d'agglomération Roissy Pays de France;non;directive24;joue;attribution;initial;oui;2019-09-18
526;19-141742;95880;Enghien les bains;COMMUNE DE ENGHIEN LES BAINS;['Repas, traiteur'];Fourniture de repas;non;cmp2006;fns;attribution;initial;non;2019-09-18
527;19-140830;97100;Basse-terre;Préfecture de Guadeloupe;['Prestations de services'];PREF971-AGENT-DE-RESIDENCE2;non;directive24;joue;appeloffre;initial;non;2019-09-18
528;19-141997;97120;Saint-claude;Parc national de la Guadeloupe;"['Mobilier urbain', ""Aire d'accueil""]";la rénovation de l'aire de pique-nique de la cascade aux écrevisses (petit-bourg).;non;cmp2006;mapa;attribution;initial;non;2019-09-18
529;19-140277;97139;LES ABYMES;EPF DE GUADELOUPE;['Topographie'];Accord cadre à bons de commande mono attributaire pour la réalisation de prestations topographiques et foncières par un géomètre expert;non;directive24;joue;appeloffre;initial;non;2019-09-18
530;19-142009;97165;POINTE A PITRE CEDEX;Grand Port Maritime de la Guadeloupe;"[""Maîtrise d'oeuvre""]";Mission de maîtrise d'oeuvre Bâtiment VRD H14;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
531;19-142157;97183;Les Abymes;CENTRE GERONTOLOGIQUE DU RAIZET;['Titres de transport'];PRESTATIONS D'AGENCE DE VOYAGE POUR LA FOURNITURE DE TITRES DE TRANSPORT POUR LE CENTRE HOSPITALIER GÉRONTOLOGIQUE;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
532;19-14967;97206;Fort de France;SMEM;['Illumination', 'Prestations de services', 'Spectacle'];"MAPA 'PRESTATIONS DE SPECTACLE ET DE MISE EN LUMIERE "" Faites la Lumière 2019 aux Anses d'Arlet '";non;cmp2006;mapa;appeloffre;initial;non;2019-09-18
533;19-140434;97221;Fort de france;COLLECTIVITE TERRITORIALE MARTINIQUE;['Informatique (maintenance serveurs et réseaux)'];renouvellement et mise à niveau des supports et maintenance reseaux et systèmes (rectificatif);non;autre;joue;rectificatif;rectificatif;non;2019-09-18
534;19-140776;97286;Le Lamentin;GCS Mangot Vulcin;['Equipements spécialisés', 'Maintenance'];MAINTENANCE PREVENTIVE, CURATIVE ET EXPLOITATION INSTALLATIONS ET EQUIPEMENTS TECHNIQUES TRAITEMENT D'AIR - PLOMBERIE, CHAMBRES FROIDES, DESENFUMAGE ET PRODUCTION EAU CHAUDE SANITAIRE;non;directive24;joue;attribution;initial;non;2019-09-18
535;19-141887;97305;Cayenne Cedex;CAF de la Guyane;['Peinture (travaux)'];travaux de rénovation des toitures du siège de la caisse d'allocations familiales de la guyane (reprise des peintures °;non;cmp2006;mapa;appeloffre;initial;oui;2019-09-18
536;19-140673;97307;Cayenne;COLLECTIVITE TERRITORIALE DE GUYANE;"[""Maîtrise d'oeuvre""]";concours restreint de maîtrise d'oeuvre sur esquisse, pour la restructuration extension du collège de grand santi - phase iv;non;directive24;joue;attribution;initial;non;2019-09-18
537;19-140790;97307;Cayenne;COLLECTIVITE TERRITORIALE DE GUYANE;['Equipement sportif'];Fourniture, livraison, pose et dépose de matériels et d'équipements sportifs et travaux annexes dans les installations sportives territoriales (I.S.T);non;directive24;joue;attribution;initial;non;2019-09-18
538;19-142039;97313;Saint Georges;Ville de Saint-Georges-de-l'Oyapock;['Couverture', 'Gros oeuvre', 'Peinture (travaux)'];Réhabilitation d'un local communal rue Elie Elfort à Saint-Georges-de-l'Oyapock;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
539;19-141126;97400;Saint Denis;CHU DE LA REUNION;['Câblage', 'Informatique (matériel)', 'Matériel de transmission'];Etude, fourniture et mise en place d'un réseau Wifi pour le Groupe Hospitalier Est Réunion (Gher), établissement du Ght Oi;non;directive24;joue;attribution;initial;non;2019-09-18
540;19-141618;97410;Saint-Pierre;C.I.V.I.S.;['Matériel de bureau', 'Mobilier'];Groupement commande CIVIS et CIAS concernant l'acquisition de mobiliers de bureaux;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
541;19-140323;97430;LE TAMPON;Commune du Tampon;['Electricité (travaux)', 'Gros oeuvre', 'Menuiserie', 'Plomberie (travaux)', 'Voirie et réseaux divers'];construction d'un etablissement d'accueil de jeunes enfants a la plaine des cafres;non;directive24;joue;appeloffre;initial;non;2019-09-18
542;19-140363;97430;LE TAMPON;Commune du Tampon;['Electricité (travaux)', 'Gros oeuvre', 'Menuiserie', 'Plomberie (travaux)', 'Voirie et réseaux divers'];construction d'un etablissement d'accueil de jeunes enfants a bras creux;non;directive24;joue;appeloffre;initial;non;2019-09-18
543;19-140865;97487;Saint-denis cedex;SDIS de la Réunion;['Pneumatiques'];Fourniture et montage de pneumatiques pour le parc automobile du SDIS de la Réunion.;non;directive24;joue;appeloffre;initial;non;2019-09-18
544;19-140927;97487;Saint-denis cedex;SDIS de la Réunion;['Pièces détachées'];Fourniture et livraison de pièces détachées et de divers consommables pour le parc automobile du SDIS de la Réunion.;non;directive24;joue;appeloffre;initial;non;2019-09-18
545;19-133064;97488;SAINT-DENIS CEDEX;CCAS de Saint-Denis Réunion;['Prestations de services', 'Articles funéraires, cercueil'];Fourniture d'articles et de prestations funéraires pour le CCAS de Saint-Denis;non;directive24;joue;appeloffre;initial;non;2019-09-18
546;19-140367;97490;Saint denis;Conseil Régional de la Réunion;"['Denrées alimentaires', ""Produits de l'agriculture""]";Fourniture de denrées alimentaires aux EPLE visant une alimentation durable- (3 lots);non;directive24;joue;appeloffre;initial;non;2019-09-18
547;19-141624;97495;Sainte Clotilde CEDEX (France - Île de la Réunion);CINOR;['Assistance technique', 'Etude'];réalisation du plan de prévention du bruit dans l'environnement du territoire de la cinor;non;cmp2006;fns;appeloffre;initial;oui;2019-09-18
548;19-141927;97600;Mamoudzou;CADEMA;['Collecte sélective', 'Mobilier urbain'];Pose et maintenance de bornes enterrées;non;cmp2006;fns;appeloffre;initial;non;2019-09-18
549;19-141683;97615;Pamandzi;COMMUNAUTE DE COMMUNES DE PETITE TERRE;['Télésurveillance'];MISE EN PLACE D'UN DISPOSITIF DE VIDÉO-PROTECTION.;non;cmp2006;fns;appeloffre;rectificatif;non;2019-09-18
550;19-140190;None;EVREUX;Le Logement Familial de l'Eure;['Cloison, faux plafond', 'Electricité (travaux)', 'Menuiserie', 'Métallerie', 'Nettoyage de locaux', 'Peinture (travaux)', 'Plâtrerie', 'Plomberie (travaux)', 'Revêtements de sols', 'Revêtements muraux', 'Serrurerie', 'Vitrerie'];marche a bons de commande pour l'execution des travaux d'entretien courant et de remise en etat des logements et parties communes;non;directive24;joue;attribution;initial;non;2019-09-18
551;19-140933;None;L'ISLE ADAM;SI DE LA PISCINE L ISLE ADAM PARMAIN;['Piscine'];Maché d'exploitation et de maintenance de la piscine de l'isle adam parmain;non;directive24;joue;appeloffre;initial;oui;2019-09-18
552;19-135282;None;PARIS;C.N.R.S.;['Repas, traiteur'];Prestations de services de traiteur pour le campus gerard- megie et pour la delegation paris michel-ange du cnrs;non;directive24;joue;appeloffre;initial;non;2019-09-18
553;19-140574;None;Paris;Centre des monuments nationaux;['Mobilier', 'Monuments historiques', 'Equipement muséographique'];lot S15 - hôtel de la Marine - réalisation de la table des marins, dispositif de médiation multimédia interactif;non;directive24;joue;attribution;initial;non;2019-09-18
554;19-141182;None;Mérignac;VILLE DE MERIGNAC;"[""Maîtrise d'oeuvre""]";maîtrise d'oeuvre pour la construction du gymnase chemin long;non;directive24;joue;appeloffre;initial;non;2019-09-18
555;19-141012;None;Dijon;Université de bourgogne;['Matériel médical'];enceinte blindée à 2 ronds de gants, adaptée aux radionucléides de haute énergie;non;directive24;joue;appeloffre;initial;non;2019-09-18
556;19-140188;None;Saint Brieuc;Département des Côtes d'Armor;['Droguerie', 'Hygiène (articles)', 'Quincaillerie (articles)', 'Sanitaire'];fourniture de produits et petits matériels d'entretien et d'hygiène;non;directive24;joue;attribution;initial;oui;2019-09-18
557;19-140255;None;MARSEILLE;CENTRE HOSPITALIER REG DE MARSEILLE;['Maintenance', 'Matériel médical'];fourniture et maintenance des lasers de marque cutera;non;directive24;joue;attribution;initial;non;2019-09-18
558;19-140678;None;Basse-terre;Région Guadeloupe;['Alarme', 'Charpente', 'Climatisation', 'Cloison, faux plafond', 'Couverture', 'Electricité (travaux)', 'Equipement sportif', 'Etanchéité', 'Gros oeuvre', 'Menuiserie', 'Peinture (travaux)', 'Plomberie (travaux)', 'Revêtements de sols', 'Serrurerie', 'Voirie et réseaux divers'];réalisation de gros travaux d'investissement et de maintenance sur le patrimoine régional, zone géographique de marie galante (rectificatif);non;autre;joue;rectificatif;rectificatif;non;2019-09-18
