a00_cle_idweb,g01_02_01_famille,g01_02_02_perimetre,g01_02_03_nature,g01_02_04_statut,g04_01_date_publication,g04_02_date_limite_reponse,g04_03_date_fin_diffusion,g04_04_classes,g04_07_dep_publication,g04_08_dep_prestation,g04_09_resume_objet,d01_01_denomination,d01_02_code_ident_national,d01_03_correspondant,d01_04_contact,d01_05_adjudicateur_nuts,d01_06_adresse,d01_07_cp,d01_08_ville,d01_09_pays,d01_10_tel,d01_11_poste,d01_12_fax,d01_13_mel,d01_14_url,d01_15_url_profil_acheteur,d01_16_url_information,d01_17_url_participation,d01_18_url_document,d01_19_url_outil_logiciel,d01_20_agit_pour_autre_compte_oui,d01_21_agit_pour_autre_compte_non,d01_22_loi_compte_autre_pays,d01_23_organisme_acheteur_central_oui,d01_24_organisme_acheteur_central_non,d05_03_type_marche,g04_051_descripteurs_codes,g04_052_descripteurs_libelles,g04_061_criteres_sociaux,g04_062_criteres_environnementaux
19-132531,joue,directive24,appeloffre,initial,2019-09-03,,2019-09-10,,"['67', '68', '8', '10', '51', '52', '54', '55', '57']",,Exploitation et la maintenance des installations de Systèmes de Sécurité Incendie (SSI) et les Equipements d'Alarme (EA),Préfecture de région Alsace - SGARE,,,,FRF,5 Place de la République,67073,Strasbourg,,(+33) 3-88-21-60-40,,(+33) 3-88-21-60-07,achat@grand-est.gouv.fr,http://www.prefectures-regions.gouv.fr,https://www.marches-publics.gouv.fr/,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=459217&orgAcronyme=g6l,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=459217&orgAcronyme=g6l,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<AGIT_POUR_AUTRE_COMPTE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<ORGANISME_ACHETEUR_CENTRAL_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>","{'travaux': None, 'fournitures': None, 'service': ''}",[90],['Détection incendie'],non,non
19-133269,mapa,cmp2006,attribution,initial,2019-09-03,,2019-11-04,,['67'],,Mission de détermination des coûts des énergies pour le bâtiment de l'Institut Régional du Cancer (IRC) à l'Hôpital de Hautepierre,HOPITAUX UNIVERSITAIRES DE STRASBOURG,,"Mme DELATTRE Corinne, HOPITAUX UNIVERSITAIRES DE STRASBOURG",,,1 place de l'Hôpital BP426,67091,Strasbourg cedex,,,,,,http://www.chru-strasbourg.fr,,,,,,,,,,,,[19],['Assistance technique'],non,non
19-133162,fns,cmp2006,appeloffre,initial,2019-09-03,1570100400000.0,2019-10-03,,"['67', '68']",,construction d'un groupe scolaire à Heiligenstein - lot 17A - Terrassement et Réseaux Divers,Commune de HEILIGENSTEIN,, KARL Jean-Georges,,,40 rue Principale,67140,HEILIGENSTEIN,,03-88-08-90-90,,03-88-08-46-17,mairie@heiligenstein.fr,https://www.e-marchespublics.com/,https://www.e-marchespublics.com/,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[341, 366]","['Terrassement', 'Voirie et réseaux divers']",non,non
19-133127,fns,cmp2006,attribution,initial,2019-09-03,,2019-10-03,,['67'],,Fourniture et acheminement d'électricité,SMICTOM d'Alsace Centrale,,"M. PIELA Jean-Pierre, Président",Service Marchés,,2 RUE DES VOSGES,67750,Scherwiller,,,,,marches-publics@smictom-alsacecentrale.fr,http://www.smictom-alsacecentrale.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,,,,,,"{'travaux': None, 'fournitures': {'achat': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<ACHAT xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}",[443],"['Electricité, gaz (fourniture)']",non,non
19-132489,joue,directive24,appeloffre,initial,2019-09-03,,2019-10-03,,['68'],,Maintenance préventive et curative d'équipements médicaux de marque Philips,Hopitaux Civils de Colmar,26680090300012,,,FRF12,39 avenue de la Liberté,68024,Colmar,,,,,sdm@ch-colmar.fr,http://www.ch-colmar.fr,http://www.marches-publics.info/acheteur/ch-colmar/,,http://www.marches-publics.info/acheteur/ch-colmar/,http://www.marches-publics.info/acheteur/ch-colmar/,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<AGIT_POUR_AUTRE_COMPTE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<ORGANISME_ACHETEUR_CENTRAL_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>","{'travaux': None, 'fournitures': None, 'service': ''}",[196],['Maintenance'],non,non
19-133099,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['68'],,Transformation de 2 salles de soins et diverses modifications à l'EHPAD du Lertzbach de Saint-Louis,SAINT-LOUIS Agglomération,, Le Président,,,"Place de l'Hôtel de Ville, CS 50199",68305,Saint-Louis,,03-89-70-90-70,,03-89-70-90-85,direction@agglo-saint-louis.fr,http://www.agglo-saint-louis.fr,http://www.marches-publics.info,,,,,,,,,,,[33],['Bâtiment'],non,non
19-133616,fns,cmp2006,appeloffre,initial,2019-09-03,1569855600000.0,2019-09-30,,"['3', '63']",,Travaux d'économie d'énergie au lycée Jean Monnet à Yzeure (03),REGION AUVERGNE RHONE ALPES,,M. Le Président,,,"1 Esplanade François Mitterrand,",69002,Lyon,,,,,,,https://auvergnerhonealpes.achatpublic.com,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[169],['Isolation'],non,non
19-133179,fns,cmp2006,appeloffre,rectificatif,2019-09-03,,2019-09-11,,"['69', '1', '38']",,Les travaux porteront sur le remplacement du système du groupe froid et sur la réfection du réseau d'eau chaude et d'eau glacée.,DGAC,,"Mme Zannella Tania, Rédactrice marchés",,,630 rue d'Allemagne,69125,Aeroport lyon saint-exupery,,04-82-90-90-31,,,,,,,,,,,,,,,,"[61, 62, 270]","['Chauffage (travaux)', 'Climatisation', 'Plomberie (travaux)']",non,non
19-133215,fns,cmp2006,appeloffre,initial,2019-09-03,1571310000000.0,2019-10-17,,['69'],,Maintenance des machines-outils a bois et des ventilations d'ateliers de menuiserie et prestations associées,Ville de Lyon,," Collomb Gérard, Maire",,,"Direction de la Commande publique, 10 quai Jean Moulin",69205,Lyon cedex 01,,04-72-10-30-30,,,marchespublics@mairie-lyon.fr,http://www.marchespublics.lyon.fr,http://marches2.lyon.fr,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}","[194, 196]","['Machines-outils', 'Maintenance']",non,non
19-133645,fns,cmp2006,appeloffre,initial,2019-09-03,1569495600000.0,2019-09-26,,['89'],,"Rénovation énergétique d'un immeuble de bureaux avec atelier R+1+Combles, chemin de la Sous-station à Migennes (89)",YXIME,, BAHLOUL Mounir,,,"Au nom et pour le compte de SNCF RESEAU, Cité Park -23 avenue de Poumeyrol - Bâtiment F",69300,CALUIRE ET CUIRE,,,,,,,,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[61, 105, 264]","['Chauffage (travaux)', 'Electricité (travaux)', 'Peinture (travaux)']",non,non
19-133627,mapa,cmp2006,attribution,initial,2019-09-03,,2019-09-23,,['69'],,Étude de restauration de la berge rive gauche du canal de Miribel communes de Miribel (01) et de Neyron (01) Parc de Miribel-Jonage,Voies navigables de France,,"M. HARAT Philippe, Voies navigables de France",,,2 rue de la Quarantaine,69321,Lyon cedex 05,,,,,,,,,,,,,,,,,,[118],['Etude'],non,non
19-133359,mapa,cmp2006,attribution,initial,2019-09-03,,2019-11-04,,['21'],,Travaux de stabilisation de la berge dérivation Pagny/Seurre PK 5D Mise en place d'une protection végétalisée sur 123 ml.,Voies navigables de France,,"M. HARAT Philippe, Voies navigables de France",,,2 rue de la Quarantaine,69321,Lyon cedex 05,,,,,,,,,,,,,,,,,,[349],"[""Travaux dans l'eau""]",non,non
19-133475,fns,cmp2006,attribution,initial,2019-09-03,,2019-09-30,,['21'],,L'opération se décompose en quatre tranches :Tranche ferme : Fabrication des vantauxTranche optionnelle 1 : Pose des portes et génie civilTranche optionnelle 2 : Pose des becs de chardonnet et,Voies navigables de France,,"M. HARAT Philippe, Voies navigables de France",,,2 rue de la Quarantaine,69321,Lyon cedex 05,,,,,,,,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[254],['Ouvrage métallique'],non,non
19-133580,mapa,cmp2006,attribution,initial,2019-09-03,,2019-09-23,,['71'],,Travaux de sécurisation de l'espace éclusier d'Ecuelles,Voies navigables de France,,"M. HARAT Philippe, Voies navigables de France",,,2 rue de la Quarantaine,69321,Lyon cedex 05,,,,,,,,,,,,,,,,,,[64],['Clôture'],non,non
19-132563,joue,directive24,appeloffre,initial,2019-09-03,,2020-01-30,,"['13', '69']",,Mise à disposition de deux fibres noires et fourniture d'accès à Internet évolutif pour l'ATIH,ATIH,,,,FRK26,117 boulevard Marius Vivier Merle,69329,Lyon cedex 03,,(+33) 4-37-91-33-10,,(+33) 4-37-91-33-67,marchespublics@atih.sante.fr,http://atih.sante.fr,,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=458939&orgAcronyme=h8j,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=458939&orgAcronyme=h8j,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=458939&orgAcronyme=h8j,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<AGIT_POUR_AUTRE_COMPTE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<ORGANISME_ACHETEUR_CENTRAL_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>","{'travaux': None, 'fournitures': {'achat': None, 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}","[1, 133]","['Abris', 'Fibre optique']",non,non
19-132561,joue,directive24,appeloffre,initial,2019-09-03,,2019-10-30,,"['1', '38', '26', '69', '6', '63']",,Fourniture et la livraison d'articles de literie anti-punaises au profit des organismes soutenus par la Plate-Forme Commissariat Sud-Est (PFC-SE).,MINARM/EMA/SCA/PFAF-CE/BAP,,,,FRK26,BP 90226,69362,Lyon cédex 07,,(+33) 4-37-27-30-05,,,dominique.del@intradef.gouv.fr,http://www.marches-publics.gouv.fr,,,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=449748&orgAcronyme=g7h,https://www.marches-publics.gouv.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&refConsultation=449748&orgAcronyme=g7h,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<AGIT_POUR_AUTRE_COMPTE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<ORGANISME_ACHETEUR_CENTRAL_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>","{'travaux': None, 'fournitures': {'achat': None, 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}","[183, 343]","['Literie', 'Textile']",non,oui
19-133576,fns,cmp2006,appeloffre,initial,2019-09-03,1569510000000.0,2019-09-30,,"['69', '1']",,"La fourniture de dioxyde de carbone (CO2) et d'azote (N2), avec mise à disposition et entretien des systèmes de stockage au profit du Détachement Air 278 d'Ambérieu-en-Bugey (DA 278).",MINARM/EMA/SCA/PFAF-CE/BAP,,"Mme DEL Dominique, Adjointe chef de division achats publics",,,BP 90226,69362,Lyon cédex 07,,04-37-27-35-12,,,dominique.del@intradef.gouv.fr,,,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': '27'}",[139],['Gaz divers'],non,non
19-133287,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['69'],,Livraison de repas aux restaurants scolaires en liaison froide,Commune de PORTE DES PIERRES DOREES,," GASQUET Jean-Paul, Maire",,,"Mairie, 42 rue du 11 novembre 1918 , Pouilly-le-Monial",69400,PORTE DES PIERRES DOREES,,04-74-65-84-30,,,,,,,,,,,,,,,,[66],['Restauration collective'],non,oui
19-133465,fns,cmp2006,appeloffre,initial,2019-09-03,1570446000000.0,2019-10-07,,"['69', '42']",,"Réparation de la buse hydraulique de la Robertane, par la construction d'un radier en béton armé et d'une voûte en béton projeté.",DIR INTERDEP ROUTES CENTRE EST,,M. CABUT Julien,,,228 rue Garibaldi,69446,Lyon,,04-69-16-63-32,,04-69-16-63-76,sir-lyon.dirce@developpement-durable.gouv.fr,http://www.enroute.centre-est.developpement-durable.gouv.fr/,http://www.marches.publics.gouv.fr,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[252],"[""Ouvrage d'art""]",non,oui
19-133577,fns,cmp2006,appeloffre,initial,2019-09-03,1570719600000.0,2019-10-11,,"['69', '1', '38', '42', '71']",,Réhabilitation de 2 établissements de l'EHPAD Michel Lamy,MAISON DE RETRAITE MICHEL LAMY,,"Mme PATISSIER MURIEL, Directrice",,,"176, rue pasteur BP 90045",69480,ANSE,,04-74-09-96-10,,04-74-67-18-17,contact@ehpad-michellamy.fr,,http://www.klekoon.com,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[33, 47, 61, 105, 162, 222, 223, 308, 309, 321, 332, 354, 360]","['Bâtiment', 'Câblage', 'Chauffage (travaux)', 'Electricité (travaux)', 'Informatique (matériel)', 'Menuiserie', 'Métallerie', 'Revêtements de sols', 'Revêtements muraux', 'Serrurerie', 'Sécurité incendie', 'Terrasse', 'Ventilation']",non,non
19-132546,joue,directive24,appeloffre,initial,2019-09-03,,2019-10-03,,['69'],,Acquisition d'un tracteur routier d'occasion pour la remorque porte char du Département du Rhône,DEPARTEMENT DU RHONE,22690001700014,,,FRK26,29-31 cours de la liberté,69483,Lyon,,(+33) 4-72-61-77-77,,,correspondre@aws-france.com,https://www.rhone.fr,https://www.rhone.fr,,https://www.rhone.fr,https://www.rhone.fr,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<AGIT_POUR_AUTRE_COMPTE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<ORGANISME_ACHETEUR_CENTRAL_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>","{'travaux': None, 'fournitures': {'achat': None, 'loc': None, 'creditbail': None, 'locvente': None, 'plusieursformes': None}, 'service': None}",[475],['Véhicules (acquisition)'],non,non
19-133138,fns,cmp2006,appeloffre,initial,2019-09-03,1570460400000.0,2019-10-07,,['69'],,Remplacement de 24 ascenseurs du métro de Lyon,SYTRAL,,"Mme BOUZERDA Fouziya, Présidente",,,"21 Boulevard Vivier Merle, CS 63815",69487,Lyon,,04-72-84-58-00,,04-78-53-12-84,unitemarches@sytral.fr,http://www.sytral.fr,https://www.marches-publics.info,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[17, 479]","['Ascenseur', 'Amiante (désamiantage)']",non,non
19-131489,fns,cmp2006,attribution,initial,2019-09-03,,2019-11-04,,['69'],,réparation et remise en peinture du pont paul bocuse,Métropole de Lyon,,Délégation au développement urbain et cadre de vie - direction ressources - AF- ressources marchés voirie,,,20 rue du laccs 33569,69505,Lyon cedex 03,,,,(+33)4-26-99-30-78,,http://marchespublics.grandlyon.com,http://marchespublics.grandlyon.com,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[252, 264, 366]","[""Ouvrage d'art"", 'Peinture (travaux)', 'Voirie et réseaux divers']",non,non
19-131530,fns,cmp2006,appeloffre,initial,2019-09-03,1570442400000.0,2019-10-07,,['71'],,L'aménagement des itinérances vertes du grand autunois morvan sur les communes d'Epinac et de Saisy,Le Grand Autunois Morvan,,Mme la Présidente,,,7 route du bois de SapinBP97,71403,Autun Cedex,,,,,contact@grandautunoismorvan.fr,http://www.grandautunoismorvan.fr,http://www.e-bourgogne.fr,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[365],['Voirie'],non,oui
19-133654,mapa,cmp2006,appeloffre,initial,2019-09-03,1569407400000.0,2019-09-25,,['72'],,"Accompagnement et animation des classes "" Espaces naturels Sensibles "" Session 2019-2020 pour les besoins du Département de la Sarthe",DEPARTEMENT DE LA SARTHE,, le Président,,,"Hôtel du département, Place Aristide Briand",72072,Le Mans,,,,,scp@cg72.fr,http://www.sarthe.fr,http://www.sarthe-marchespublics.fr,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[274],['Prestations de services'],non,oui
19-133597,fns,cmp2006,appeloffre,initial,2019-09-03,1570100400000.0,2019-10-03,,"['72', '61', '53']",,"Aménagement de l'Office du Tourisme, place de la libération à BEAUMONT-SUR-SARTHE",Cté de Cnes des Alpes Mancelles,," MARTIN Philippe, Président",,,2 rue de l'Abbé Lelièvre,72130,Fresnay-sur-Sarthe,,02-43-34-34-59,,02-43-33-77-23,peggy.simon@ccalpesmancelles.fr,http://www.ccalpesmancelles.fr,,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[33, 87, 144, 169, 222]","['Bâtiment', 'Démolition', 'Gros oeuvre', 'Isolation', 'Menuiserie']",non,non
19-133526,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['72'],,RÉALISATION DE L'EXTENSION DE LA ZONE ARTISANALE DU GUE A TELOCHE,cdc de l'Orée de Bercé Belinois,,"Mme DUPONT Nathalie, Présidente",,,1 rue Sainte-Anne BP 50019,72220,Ecommoy,,02-43-47-02-20,,,servicemarche@belinois.fr,http://www.cc-berce-belinois.fr/,,,,,,,,,,,,[353],['Travaux de viabilité'],non,non
19-133139,fns,cmp2006,appeloffre,initial,2019-09-03,1569582000000.0,2019-09-27,,['72'],,Construction de bureaux LBN,cc pays de loué vegre champagne,," VANNIER Gilbert, Président",,,24 rue du pont de quatre métres,72540,Loué,,02-43-92-31-58,,,jeremy.behiers@cc-lbn.fr,http://www.cc-lbn.fr/,,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[269],['Plâtrerie'],non,non
19-133582,fns,cmp2006,appeloffre,initial,2019-09-03,1569510000000.0,2019-09-26,,['73'],,Marchés de travaux pour la construction d'une école maternelle sur la Commune de Sonnaz (73000),SOCIETE AMENAGEMENT DE LA SAVOIE,,"Mme BONNET Muriel, Chef de Projets",,,17 rue Lac St André BP 90299 73375 LE BOURGET DU LAC Cedex,73000,Chambery,,,,,,,https://sas73.achatpublic.com,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[17, 33, 63, 222, 270]","['Ascenseur', 'Bâtiment', 'Cloison, faux plafond', 'Menuiserie', 'Plomberie (travaux)']",non,non
19-133493,fns,cmp2006,attribution,initial,2019-09-03,,2019-10-20,,['69'],,Les prestations relatives à l'ensemble des travaux comprennent :- les installations de chantier- Les travaux préparatoires et la signalisation de chantier- Les terrassements nécessaires à la c,DIR Centre-Est,,"Mlle CAUSSIGNAC Florence, DIR Centre-Est / SREI",,,L'Adret 1 rue des Cévennes,73026,Chambéry cedex,,04-79-70-02-00,,04-79-60-13-00,srei-chambery.dirce@developpement-durable.gouv.fr,,,,,,,,,,,,"{'travaux': {'execution': '<?xml version=""1.0"" encoding=""UTF-16""?>\n<EXECUTION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>', 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}",[253],"[""Ouvrage d'infrastructure""]",non,oui
19-133441,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['73'],,Travaux de construction d'une base nautique sur la plage des sports à Tignes / Relance suite infructuosité,Commune de Tignes,," VITALE Jean-Christophe, M. Le Maire",,,Quartier du Rosset BP 50,73321,TIGNES,,04-79-40-06-40,,04-79-06-35-46,mairie@tignes.net,http://www.mairie-tignes.fr/,https://www.marches-publics.info,,,,,,,,,,,"[33, 117, 144, 222, 264]","['Bâtiment', 'Etanchéité', 'Gros oeuvre', 'Menuiserie', 'Peinture (travaux)']",non,non
19-133447,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['73'],,REFECTION DES ENROBES DE L'AIRE DE SAINT AVREET DU PARKING PL OUEST DE L'AIRE DE SAINT JULIEN MONTDENIS,SOC FRANCAISE TUNNEL ROUTIER DE FREJUS,," SIMONNET DIDIER, Directeur Général",,,Plateforme du tunnel du Fréjus,73500,MODANE,,04-79-20-26-00,,04-79-20-26-10,marchespublics@tunneldufrejus.com,http://www.sftrf.fr,http://www.sftrf.fr,,,,,,,,,,,"[141, 365]","['Génie civil', 'Voirie']",non,non
19-133450,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['73'],,TRAVAUX DE VRD SUR CHEMIN D'EXPLOITATION AU DROIT DES MURS DE LA RATF,SOC FRANCAISE TUNNEL ROUTIER DE FREJUS,," SIMONNET DIDIER, Directeur Général",,,Plateforme du tunnel du Fréjus,73500,MODANE,,04-79-20-26-00,,04-79-20-26-10,marchespublics@tunneldufrejus.com,http://www.sftrf.fr,http://www.sftrf.fr,,,,,,,,,,,"[142, 306, 365]","['Glissières de sécurité', 'Réseaux divers', 'Voirie']",non,non
19-133454,fns,cmp2006,attribution,initial,2019-09-03,,2019-12-01,,['73'],,A43 - TRAVAUX DE REPRISE DE LA LONGRINE BETON ET DES ENROBES DU PI 93,SOC FRANCAISE TUNNEL ROUTIER DE FREJUS,," SIMONNET DIDIER, Directeur Général",,,Plateforme du tunnel du Fréjus,73500,MODANE,,04-79-20-26-00,,04-79-20-26-10,marchespublics@tunneldufrejus.com,http://www.sftrf.fr,http://www.sftrf.fr,,,,,,,,,,,"[141, 252, 365]","['Génie civil', ""Ouvrage d'art"", 'Voirie']",non,non
19-133142,fns,cmp2006,appeloffre,initial,2019-09-03,1570006800000.0,2019-10-02,,['74'],,Mission de conseil et de représentation juridique,Commune de Megève,,"Mme JULLIEN-BRECHES, Maire",,,1 Place de l'Eglise BP 23,74120,MEGEVE,,,,,marches.publics@megeve.fr,http://www.megeve.fr,http://www.marches-publics.info/accueil.htm,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[434],['Assistance juridique'],non,non
19-133608,fns,cmp2006,appeloffre,initial,2019-09-03,1569841200000.0,2019-09-30,,['74'],,Travaux de construction d'une déchetterie intercommunale et d'aménagement de lots de zone d'activités économique à Peillonnex (74250),Communauté de Communes des 4 Rivières,, FOREL Bruno,,,3 Place de la Mairie,74250,MARCELLAZ EN FAUCIGNY,,04-50-31-46-95,,,secretariat@cc4r.fr,http://www.cc4r.fr,http://www.mp74.fr,,,,,,,,,,"{'travaux': {'execution': None, 'conceptrealisation': None, 'executionouvrage': None}, 'fournitures': None, 'service': None}","[96, 341, 353]","['Déchetterie (travaux)', 'Terrassement', 'Travaux de viabilité']",non,non
19-130516,mapa,cmp2006,appeloffre,initial,2019-09-03,1569859200000.0,2019-09-30,,['74'],,réhabilitation du palais des festivités et requalification de l'environnement - assistance à maitrise d'ouvrage (amo),Ville d'Evian-les-Bains,,Service marchés publics,,,"2, rue de ClermontCS 80098",74502,Evian cedex,,04-50-83-10-91,,04-50-83-10-54,marches-publics@ville-evian.fr,,https://www.marches-securises.fr,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': ''}",[433],"[""Assistance à maîtrise d'ouvrage""]",non,non
19-132544,joue,directive24,appeloffre,initial,2019-09-03,,2019-10-04,,['75'],,Prestations informatiques pour l'urbanisation et la mise en place du système d'information installation-transmission (Siitr) des chambres d'agricultures,APCA,18007004700014,,,FR10,9 avenue George V,75008,Paris,,,,,caroline.dolleans@apca.chambagri.fr,http://www.chambres-agriculture.fr/,http://www.marches-publics.info/,,http://www.marches-publics.info/,http://www.marches-publics.info/,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<AGIT_POUR_AUTRE_COMPTE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<ORGANISME_ACHETEUR_CENTRAL_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>","{'travaux': None, 'fournitures': None, 'service': ''}","[186, 283]","['Logiciel', 'Progiciel']",non,non
19-132503,joue,directive24,attribution,initial,2019-09-03,,2019-11-05,,['75'],,"Exploitation et maintenance des installations de chauffage, de production d'eau chaude sanitaire, de traitement d'air, de ventilation et de climatisation et prestations associée'",GIP RESAH,,,,FR101,"47, rue de Charonne",75011,Paris,,(+33) 1-55-78-54-54,,(+33) 1-55-78-54-58,marchespublics@resah.fr,http://www.resah.fr,https://achat-hopital.com,,,,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<AGIT_POUR_AUTRE_COMPTE_NON xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,"<?xml version=""1.0"" encoding=""UTF-16""?>
<ORGANISME_ACHETEUR_CENTRAL_OUI xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,"{'travaux': None, 'fournitures': None, 'service': ''}","[196, 274]","['Maintenance', 'Prestations de services']",non,non
19-133495,fns,cmp2006,appeloffre,initial,2019-09-03,1569841200000.0,2019-09-30,,['75'],,De prestations de services de conseil et de gestion des recrutements d'une catégorie socio professionnelle de l'AccorHotels Aréna,Société d'Exploitation du P.O.P.B.,,"Mme Blondel Isabelle, SAE POPB",,,8 rue de Bercy,75012,Paris,,01-58-70-16-06,,,,,,,,,,,,,,,"{'travaux': None, 'fournitures': None, 'service': '27'}",[445],['Evénementiel'],non,non
